iter	RMSE
0	0.8313985435
1	0.7949857055
2	0.76197468
3	0.7321556008
4	0.7056407787
5	0.6806052545
6	0.6598212602
7	0.6404403137
8	0.6205067648
9	0.602397335
10	0.5858182168
11	0.5722263574
12	0.5579012163
13	0.5449252773
14	0.5339167084
15	0.5233494961
16	0.5136307878
17	0.5049873974
18	0.4975641388
19	0.4909030777
20	0.4840404163
21	0.4774122882
22	0.4722368246
23	0.4676145087
24	0.4636938169
25	0.4589843776
26	0.4543290676
27	0.4504537752
28	0.4477659098
29	0.4443165009
30	0.4419018733
31	0.4389158738
32	0.4366930205
33	0.4334699019
34	0.4305458824
35	0.4289446028
36	0.427334082
37	0.4249942772
38	0.4225874219
39	0.4206365551
40	0.4195361237
41	0.4183928527
42	0.4169746612
43	0.4160299277
44	0.4138141908
45	0.412797695
46	0.4112592378
47	0.410159428
48	0.4090762478
49	0.4077341836
50	0.4062280648
51	0.4055471707
52	0.4047732981
53	0.4040979982
54	0.4029080008
55	0.4019160589
56	0.4012082543
57	0.4005147691
58	0.3994786788
59	0.3988292045
60	0.3980478116
61	0.3976452235
62	0.3969677094
63	0.3962840736
64	0.3958810865
65	0.3955986915
66	0.3946762121
67	0.3939770894
68	0.3933001572
69	0.3926842095
70	0.3922601573
71	0.3920026768
72	0.3914474064
73	0.3912764481
74	0.3907703675
75	0.3902514679
76	0.3898266076
77	0.3893338965
78	0.3889379155
79	0.3887954682
80	0.3883629098
81	0.387869772
82	0.3876139687
83	0.3873013284
84	0.3869287701
85	0.3865445675
86	0.3861308432
87	0.385770156
88	0.3855002971
89	0.3852548615
90	0.3849465803
91	0.3847939495
92	0.3845804124
93	0.3842459871
94	0.3840544522
95	0.3838420275
96	0.3834426865
97	0.3832071232
98	0.3829686815
99	0.3827262417
100	0.3826412931
101	0.3824741482
102	0.3823962571
103	0.3823243413
104	0.3820822133
105	0.3819422858
106	0.3816375878
107	0.3812894009
108	0.3809921191
109	0.3809336806
110	0.3807764251
111	0.3806549557
112	0.3805136169
113	0.3804553337
114	0.3802937554
115	0.3802379261
116	0.3801530911
117	0.3799627555
118	0.3798914819
119	0.3796865934
120	0.3793761694
121	0.3793310526
122	0.3792814819
123	0.3792109997
124	0.3791512085
125	0.3788500328
126	0.3787520451
127	0.378585042
128	0.3784641252
129	0.378272049
130	0.3782006381
131	0.3781299487
132	0.3780538159
133	0.3779416425
134	0.3776166413
135	0.3775020455
136	0.3773144301
137	0.377246933
138	0.3771371167
139	0.3770646
140	0.377004501
141	0.3769073828
142	0.3768571919
143	0.3768222463
144	0.376717518
145	0.3765758541
146	0.3765171626
147	0.3764417566
148	0.3762773876
149	0.3761630663
150	0.3760189671
151	0.3758998292
152	0.3758400611
153	0.3757498868
154	0.3756307617
155	0.3755143157
156	0.3754477217
157	0.3753910418
158	0.3753210859
159	0.3752621213
160	0.3751291079
161	0.3749614364
162	0.3748477741
163	0.3747203262
164	0.3746208334
165	0.3744149041
166	0.3743310616
167	0.3741031441
168	0.3740446487
169	0.3739764391
170	0.3737678676
171	0.3737071751
172	0.3736044918
173	0.373485715
174	0.3734171843
175	0.3733582604
176	0.3732859049
177	0.373130591
178	0.3730483632
179	0.3728806854
180	0.3728239413
181	0.372729982
182	0.3726740839
183	0.3725954371
184	0.3725391801
185	0.3723993776
186	0.3723503795
187	0.3721900374
188	0.3721210273
189	0.3720369103
190	0.3719128634
191	0.3718499503
192	0.3718004365
193	0.3716980605
194	0.3715896674
195	0.3715250661
196	0.3714343152
197	0.3713720411
198	0.371293208
199	0.371184569
200	0.3711173333
201	0.3710099203
202	0.3708884009
203	0.3708125872
204	0.3707475803
205	0.3705945042
206	0.3705470208
207	0.3704915229
208	0.3704284672
209	0.3703695354
210	0.3702943489
211	0.3702329058
212	0.3701655007
213	0.3700795209
214	0.3700120893
215	0.3699315953
216	0.3698471501
217	0.3697977524
218	0.3697597871
219	0.3695838848
220	0.3694662157
221	0.3694173393
222	0.3693227208
223	0.3692008439
224	0.3691255523
225	0.3690671504
226	0.3690111981
227	0.3689528082
228	0.3689067061
229	0.368835803
230	0.3687630556
231	0.3686620906
232	0.3686054732
233	0.3685609845
234	0.3685284082
235	0.3684478382
236	0.3683972595
237	0.3683375706
238	0.3682466376
239	0.368190713
240	0.3681190748
241	0.368049509
242	0.3679957301
243	0.3679475433
244	0.367836047
245	0.3677834918
246	0.3677039271
247	0.367643079
248	0.3675749877
249	0.3675180008
250	0.36747863
251	0.3674208506
252	0.3673380138
253	0.3672965324
254	0.36722095
255	0.3671581657
256	0.3671049118
257	0.3669540784
258	0.3668969624
259	0.3667072067
260	0.3666540236
261	0.366606015
262	0.3664708327
263	0.3664020836
264	0.3663423533
265	0.3662687241
266	0.3661774586
267	0.3661261168
268	0.3660543318
269	0.3660116808
270	0.3659583449
271	0.3658877706
272	0.3658541884
273	0.3657486169
274	0.3657125845
275	0.3656519444
276	0.365571214
277	0.3655349499
278	0.365481679
279	0.3654161926
280	0.3653699022
281	0.3652056416
282	0.3651367733
283	0.3650900139
284	0.3650285366
