iter	Passed	Remaining
0	190	190804
1	196	98204
2	204	68111
3	210	52516
4	216	43125
5	222	36821
6	227	32284
7	233	28986
8	239	26319
9	244	24172
10	249	22459
11	256	21085
12	261	19869
13	267	18851
14	272	17907
15	278	17103
16	284	16450
17	289	15803
18	294	15231
19	301	14758
20	306	14278
21	311	13836
22	317	13466
23	322	13103
24	327	12768
25	335	12554
26	340	12260
27	345	12005
28	352	11787
29	357	11574
30	363	11373
31	369	11189
32	375	11005
33	381	10846
34	387	10675
35	392	10500
36	398	10365
37	403	10202
38	408	10054
39	413	9931
40	418	9794
41	424	9671
42	429	9557
43	435	9453
44	440	9340
45	445	9249
46	451	9155
47	456	9053
48	462	8981
49	467	8888
50	473	8808
51	480	8753
52	485	8676
53	490	8597
54	495	8516
55	500	8440
56	505	8365
57	510	8298
58	515	8229
59	520	8159
60	526	8100
61	532	8054
62	537	7989
63	542	7930
64	547	7872
65	551	7808
66	556	7750
67	561	7698
68	566	7638
69	570	7584
70	576	7540
71	581	7490
72	585	7437
73	590	7391
74	596	7352
75	601	7313
76	606	7267
77	611	7224
78	616	7184
79	621	7144
80	626	7103
81	631	7073
82	637	7043
83	643	7015
84	648	6979
85	653	6947
86	659	6917
87	664	6886
88	670	6859
89	675	6831
90	680	6796
91	685	6769
92	691	6739
93	695	6707
94	700	6676
95	706	6655
96	711	6623
97	716	6593
98	721	6570
99	727	6548
100	733	6526
101	738	6504
102	744	6481
103	749	6455
104	754	6433
105	760	6415
106	766	6393
107	771	6370
108	776	6347
109	781	6324
110	787	6306
111	792	6284
112	797	6262
113	803	6245
114	808	6221
115	813	6199
116	818	6179
117	823	6158
118	828	6134
119	833	6113
120	839	6094
121	843	6073
122	848	6052
123	854	6038
124	859	6019
125	865	6000
126	869	5977
127	874	5956
128	879	5940
129	884	5922
130	889	5901
131	894	5879
132	899	5863
133	904	5844
134	909	5828
135	915	5817
136	920	5800
137	926	5784
138	933	5784
139	939	5769
140	949	5782
141	958	5792
142	965	5786
143	971	5772
144	977	5764
145	983	5749
146	988	5733
147	994	5722
148	999	5707
149	1003	5688
150	1009	5673
151	1014	5660
152	1019	5642
153	1023	5623
154	1029	5610
155	1033	5593
156	1038	5575
157	1043	5561
158	1049	5548
159	1054	5534
160	1059	5520
161	1064	5506
162	1069	5490
163	1073	5474
164	1079	5461
165	1084	5447
166	1089	5432
167	1094	5419
168	1099	5404
169	1103	5388
170	1109	5377
171	1114	5365
172	1119	5351
173	1124	5337
174	1129	5324
175	1134	5311
176	1139	5298
177	1145	5287
178	1149	5274
179	1155	5262
180	1161	5254
181	1168	5249
182	1173	5238
183	1178	5225
184	1183	5215
185	1189	5203
