iter	RMSE
0	0.8051990363
1	0.7494002085
2	0.6968625796
3	0.6508597205
4	0.6120285794
5	0.5762143499
6	0.5459091066
7	0.5214516332
8	0.500914835
9	0.4821281567
10	0.4663500228
11	0.4518019445
12	0.4393249399
13	0.427957084
14	0.4185596129
15	0.4110515865
16	0.4047337338
17	0.3989339716
18	0.3936064023
19	0.390096708
20	0.3861376425
21	0.3834362911
22	0.3811082413
23	0.3790340119
24	0.3770394524
25	0.3756866086
26	0.3736773575
27	0.3726943323
28	0.3713469898
29	0.3704388302
30	0.3686913031
31	0.368077812
32	0.367312215
33	0.3667138035
34	0.3663876808
35	0.3657931724
36	0.3651284515
37	0.3644814402
38	0.3638607313
39	0.3635130614
40	0.3631532262
41	0.3628157274
42	0.3624500334
43	0.3619700611
44	0.3615580201
45	0.3612752367
46	0.3609969025
47	0.3606239012
48	0.3603435338
49	0.3599281441
50	0.3596591322
51	0.3592343815
52	0.3588561802
53	0.3586141838
54	0.3582915268
55	0.3577883098
56	0.3576036207
57	0.3573017344
58	0.3566976915
59	0.356366696
60	0.3561659879
61	0.3559435703
62	0.3552049825
63	0.3548887432
64	0.3545541287
65	0.3541849422
66	0.3539641033
67	0.3535730315
68	0.3532583209
69	0.3530817471
70	0.3523473941
71	0.3521240935
72	0.3518167921
73	0.3515227345
74	0.3512396568
75	0.3508667057
76	0.3504057249
77	0.3498981547
78	0.3495850897
79	0.3491852422
80	0.3489261855
81	0.3485945091
82	0.3482521576
83	0.3478516584
84	0.3475170215
85	0.3473348313
86	0.3470325807
87	0.3465577187
88	0.3461363411
89	0.3457082886
90	0.3454095233
91	0.3452076745
92	0.3450377512
93	0.3446800735
94	0.3442203088
95	0.3437073852
96	0.3433015584
97	0.3429786713
98	0.3426968367
99	0.3422613472
