iter	Passed	Remaining
0	21	2146
1	40	2001
2	59	1930
3	76	1843
4	107	2034
5	137	2156
6	167	2220
7	191	2197
8	209	2121
9	228	2058
10	247	1999
11	263	1933
12	281	1882
13	298	1833
14	317	1800
15	334	1757
16	351	1716
17	368	1678
18	384	1637
19	401	1606
20	417	1570
21	434	1542
22	452	1515
23	469	1486
24	486	1458
25	502	1431
26	519	1405
27	538	1384
28	555	1360
29	572	1336
30	589	1313
31	607	1291
32	624	1267
33	642	1246
34	658	1223
35	675	1200
36	692	1179
37	710	1159
38	728	1139
39	751	1126
40	782	1125
41	814	1125
42	840	1113
43	857	1091
44	875	1070
45	893	1049
46	910	1027
47	927	1005
48	944	983
49	961	961
50	978	940
51	995	918
52	1011	897
53	1027	875
54	1044	854
55	1061	833
56	1077	812
57	1094	792
58	1110	771
59	1126	751
60	1142	730
61	1159	710
62	1175	690
63	1192	670
64	1209	651
65	1226	632
66	1244	612
67	1260	593
68	1277	573
69	1294	554
70	1311	535
71	1328	516
72	1344	497
73	1363	478
74	1380	460
75	1398	441
76	1416	422
77	1433	404
78	1451	385
79	1469	367
80	1487	348
81	1502	329
82	1520	311
83	1538	292
84	1556	274
85	1578	256
86	1607	240
87	1639	223
88	1671	206
89	1690	187
90	1709	169
91	1728	150
92	1746	131
93	1764	112
94	1783	93
95	1802	75
96	1820	56
97	1838	37
98	1857	18
99	1875	0
